number,title,start,end,text
1,Installing VS Code & How Websites Work,0.0,5.0, Today we will start the Sigma Web Development course with high energy.
1,Installing VS Code & How Websites Work,5.0,9.5, Because in this video I am going to make you a profitable web developer with zero.
1,Installing VS Code & How Websites Work,9.5,12.700000000000001, This course will be modern because web development has changed over time.
1,Installing VS Code & How Websites Work,12.700000000000001,14.0, Many new things have come.
1,Installing VS Code & How Websites Work,14.0,18.0, Many things have come in JavaScript which makes the work very easy.
1,Installing VS Code & How Websites Work,18.0,22.0, Many technologies have come which will make your work very easy.
1,Installing VS Code & How Websites Work,22.0,25.0, This course will be for those who don't know anything.
1,Installing VS Code & How Websites Work,25.0,29.0, You know that zero is for you if you know about web development.
1,Installing VS Code & How Websites Work,29.0,32.0, We will start with zero but we will raise the bar like anything.
1,Installing VS Code & How Websites Work,32.0,35.0, What we will learn in this course I will tell you in a while.
1,Installing VS Code & How Websites Work,35.0,37.5, Web development is a very profitable thing.
1,Installing VS Code & How Websites Work,37.5,40.5, I have personally earned a lot of money through web development.
1,Installing VS Code & How Websites Work,40.5,45.0, And I believe that you can also be successful by learning web development.
1,Installing VS Code & How Websites Work,45.0,49.0," You will get notes, cheats, references during the course."
1,Installing VS Code & How Websites Work,49.0,57.0, This course is going to be different because I will tell you the technologies according to your experience in this course.
1,Installing VS Code & How Websites Work,57.0,61.0, And I will make this course a complete course with all the web development technologies.
1,Installing VS Code & How Websites Work,61.0,65.0," There will be course content, complete web development, front end, back end, database."
1,Installing VS Code & How Websites Work,65.0,67.0, I will teach you as much as you want to learn.
1,Installing VS Code & How Websites Work,67.0,70.0, I will tell you the course content in a few days.
1,Installing VS Code & How Websites Work,70.0,73.0, But you keep faith that you will become a full stack developer.
1,Installing VS Code & How Websites Work,73.0,76.0, In the future you will be given a lot of projects during the course.
1,Installing VS Code & How Websites Work,76.0,82.5, And in the end you will make some good projects so that you can become very strong on web development.
1,Installing VS Code & How Websites Work,82.5,86.5," According to me, project based learning is the best way to learn."
1,Installing VS Code & How Websites Work,86.5,88.5, So I will make you a lot of projects.
1,Installing VS Code & How Websites Work,88.5,91.5, And if you agree then write in the comment section below.
1,Installing VS Code & How Websites Work,91.5,94.5," Because when you comment, my face gets a smile."
1,Installing VS Code & How Websites Work,94.5,95.5, So do comment.
1,Installing VS Code & How Websites Work,95.5,101.5," I want to give you the trust that after finishing this course, you can make any kind of website from the beginning to the end."
1,Installing VS Code & How Websites Work,101.5,107.5," And during this course, I will make a lot of websites like this so that your confidence will go up a lot."
1,Installing VS Code & How Websites Work,107.5,111.5, So let's start with our first video of our Sigma web development course.
1,Installing VS Code & How Websites Work,111.5,112.5, Let's roll the intro.
1,Installing VS Code & How Websites Work,121.5,124.5," Alright guys, I have come to my computer screen."
1,Installing VS Code & How Websites Work,124.5,127.5, And now follow me as I am doing.
1,Installing VS Code & How Websites Work,127.5,129.5, I have downloaded Google Chrome browser here.
1,Installing VS Code & How Websites Work,129.5,131.5, You also download Google Chrome browser.
1,Installing VS Code & How Websites Work,131.5,132.5," I am not saying this, it won't work."
1,Installing VS Code & How Websites Work,132.5,136.5, But you have to do exactly what I am doing here.
1,Installing VS Code & How Websites Work,136.5,139.5, So here we will follow exactly what I am doing.
1,Installing VS Code & How Websites Work,139.5,143.5," And along with that, you will be able to follow exactly what I am doing here."
1,Installing VS Code & How Websites Work,143.5,148.5, I will go to Google and I will write down download VS Code.
1,Installing VS Code & How Websites Work,148.5,149.5, Now what is VS Code?
1,Installing VS Code & How Websites Work,149.5,152.5, VS Code is a source code editor.
1,Installing VS Code & How Websites Work,152.5,154.5," If you are in Windows, I will click on Windows."
1,Installing VS Code & How Websites Work,154.5,163.5," If you are in Mac, Linux or any other operating system, then you can download it for that strange operating system."
1,Installing VS Code & How Websites Work,163.5,165.5, And the process is exactly the same.
1,Installing VS Code & How Websites Work,165.5,170.5," You can see that in the folder where I downloaded, there is a VS Code."
1,Installing VS Code & How Websites Work,170.5,174.5," And as you can see here, this setup has been downloaded."
1,Installing VS Code & How Websites Work,174.5,175.5, I will refresh here.
1,Installing VS Code & How Websites Work,175.5,180.5, And here you can see that I can double click on VS Code's setup and install it.
1,Installing VS Code & How Websites Work,180.5,182.5," So simply, you have to install VS Code."
1,Installing VS Code & How Websites Work,182.5,184.5, Install the game as easy as possible.
1,Installing VS Code & How Websites Work,184.5,185.5, You can quickly agree here.
1,Installing VS Code & How Websites Work,185.5,186.5, This lies in the slide.
1,Installing VS Code & How Websites Work,186.5,187.5, This lies in the slide.
1,Installing VS Code & How Websites Work,187.5,188.5, This lies in the slide.
1,Installing VS Code & How Websites Work,188.5,189.5, This lies in the slide.
1,Installing VS Code & How Websites Work,189.5,190.5, This lies in the slide.
1,Installing VS Code & How Websites Work,190.5,191.5, This lies in the slide.
1,Installing VS Code & How Websites Work,191.5,192.5, This lies in the slide.
1,Installing VS Code & How Websites Work,192.5,193.5, This lies in the slide.
1,Installing VS Code & How Websites Work,193.5,195.5, And I am the fastest reader in the world.
1,Installing VS Code & How Websites Work,195.5,196.5, I will do it.
1,Installing VS Code & How Websites Work,196.5,197.5, I will do it.
1,Installing VS Code & How Websites Work,197.5,198.5, I will do it.
1,Installing VS Code & How Websites Work,198.5,199.5, I will do it.
1,Installing VS Code & How Websites Work,199.5,200.5, I will do it.
1,Installing VS Code & How Websites Work,200.5,201.5, I will do it.
1,Installing VS Code & How Websites Work,201.5,203.5, It is important here to check both the icons.
1,Installing VS Code & How Websites Work,203.5,204.5, Check both the icons.
1,Installing VS Code & How Websites Work,204.5,206.5, It is very important to check it.
1,Installing VS Code & How Websites Work,206.5,212.5," If you want desktop shortcuts, that is, if you want to get a shortcut in the desktop,"
1,Installing VS Code & How Websites Work,212.5,214.5, then you can create a desktop icon.
1,Installing VS Code & How Websites Work,214.5,215.5, And then we will do it.
1,Installing VS Code & How Websites Work,215.5,216.5, We will do it.
1,Installing VS Code & How Websites Work,216.5,217.5, We will install it.
1,Installing VS Code & How Websites Work,217.5,220.5," If your PC is fast like mine, then it will be so fast."
1,Installing VS Code & How Websites Work,220.5,225.5," But if your PC is slow, then there is no problem."
1,Installing VS Code & How Websites Work,225.5,227.5," So, it will be a little slow."
1,Installing VS Code & How Websites Work,227.5,228.5, Nothing more will happen.
1,Installing VS Code & How Websites Work,228.5,231.5," Now, I will recommend you to subscribe to the channel."
1,Installing VS Code & How Websites Work,231.5,235.5, Because I want you to follow these videos.
1,Installing VS Code & How Websites Work,235.5,236.5, Like I have shown you in the video.
1,Installing VS Code & How Websites Work,236.5,237.5, You will get a notification.
1,Installing VS Code & How Websites Work,237.5,241.5," So, if you want to follow this course completely, ideally you should subscribe."
1,Installing VS Code & How Websites Work,241.5,243.5," With that said, our VS code has been downloaded."
1,Installing VS Code & How Websites Work,243.5,245.5, I have opened the VS code.
1,Installing VS Code & How Websites Work,245.5,246.5, Don't be afraid of this.
1,Installing VS Code & How Websites Work,246.5,247.5," Beginners, don't be afraid of this."
1,Installing VS Code & How Websites Work,247.5,249.5, And I am saying this again.
1,Installing VS Code & How Websites Work,249.5,254.5," If you know something already, we are starting beginner friendly here in initial videos."
1,Installing VS Code & How Websites Work,254.5,257.5, But we will raise the bar like anything in the upcoming videos.
1,Installing VS Code & How Websites Work,257.5,258.5," So, stay tuned."
1,Installing VS Code & How Websites Work,258.5,259.5, Hi.
1,Installing VS Code & How Websites Work,259.5,263.5, I will request you to tell me in the comment section what is your level.
1,Installing VS Code & How Websites Work,263.5,266.5, Beginner is advanced or intermediate user.
1,Installing VS Code & How Websites Work,266.5,269.5, Tell me in the comment section where does web development come from.
1,Installing VS Code & How Websites Work,269.5,270.5, Beginner advanced intermediate.
1,Installing VS Code & How Websites Work,270.5,272.5," Please, you do comment this."
1,Installing VS Code & How Websites Work,272.5,273.5," Now, what is VS code here?"
1,Installing VS Code & How Websites Work,273.5,274.5, I have downloaded it.
1,Installing VS Code & How Websites Work,274.5,275.5, Let's understand this.
1,Installing VS Code & How Websites Work,275.5,280.5," So, if you don't know what is VS code, let me tell you that VS code is a code editor."
1,Installing VS Code & How Websites Work,280.5,282.5, Which helps you to edit code.
1,Installing VS Code & How Websites Work,282.5,285.5," Now, you can edit Harry by code in the notepad."
1,Installing VS Code & How Websites Work,285.5,287.5," So, yes, do it in the notepad."
1,Installing VS Code & How Websites Work,287.5,288.5, It will be done in that too.
1,Installing VS Code & How Websites Work,288.5,290.5," Yes, I am not doing it in the sarcastic way."
1,Installing VS Code & How Websites Work,290.5,291.5, It will be done in that too.
1,Installing VS Code & How Websites Work,291.5,294.5, Let's set up here and show you what is in it.
1,Installing VS Code & How Websites Work,294.5,297.5, Which makes it a little different from notepad.
1,Installing VS Code & How Websites Work,297.5,299.5," Look here, let's set up here."
1,Installing VS Code & How Websites Work,299.5,302.5, I will not browse from color themes here.
1,Installing VS Code & How Websites Work,302.5,303.5," In fact, I will do it."
1,Installing VS Code & How Websites Work,303.5,305.5, I will keep it dark modern.
1,Installing VS Code & How Websites Work,305.5,306.5, I will keep theme here.
1,Installing VS Code & How Websites Work,306.5,308.5, And I have done all this in the next section.
1,Installing VS Code & How Websites Work,308.5,309.5," After this, in the next section."
1,Installing VS Code & How Websites Work,309.5,312.5, You can close the welcome if you want.
1,Installing VS Code & How Websites Work,312.5,314.5," But first, I am telling you some tips here."
1,Installing VS Code & How Websites Work,314.5,315.5, That's it.
1,Installing VS Code & How Websites Work,315.5,318.5, This is your VS code here.
1,Installing VS Code & How Websites Work,318.5,319.5, It has started.
1,Installing VS Code & How Websites Work,319.5,320.5, This is the VS code screen.
1,Installing VS Code & How Websites Work,320.5,321.5, You can see here.
1,Installing VS Code & How Websites Work,321.5,323.5, You can make a new file or a new folder.
1,Installing VS Code & How Websites Work,323.5,326.5, But I will recommend you to close it.
1,Installing VS Code & How Websites Work,326.5,327.5," Yes, you can close it."
1,Installing VS Code & How Websites Work,327.5,328.5, Why did you close it?
1,Installing VS Code & How Websites Work,328.5,330.5, I am going to make a new folder here.
1,Installing VS Code & How Websites Work,330.5,332.5, And I am going to keep its name.
1,Installing VS Code & How Websites Work,332.5,333.5, You guessed it right.
1,Installing VS Code & How Websites Work,333.5,336.5, Sigma Web Development Course.
1,Installing VS Code & How Websites Work,336.5,338.5, We will do everything in this course.
1,Installing VS Code & How Websites Work,338.5,340.5, We will do everything.
1,Installing VS Code & How Websites Work,340.5,341.5, We will do everything.
1,Installing VS Code & How Websites Work,341.5,343.5, Understand that we will do it related to the course.
1,Installing VS Code & How Websites Work,343.5,344.5, We will not do much.
1,Installing VS Code & How Websites Work,344.5,345.5, You will shift here and do it rightly.
1,Installing VS Code & How Websites Work,345.5,346.5, If there is an app in Windows.
1,Installing VS Code & How Websites Work,346.5,348.5, You can see here.
1,Installing VS Code & How Websites Work,348.5,350.5, There is an option called open with code.
1,Installing VS Code & How Websites Work,350.5,352.5, This option called open with code.
1,Installing VS Code & How Websites Work,352.5,357.5, This particular folder helps you open it in VS code.
1,Installing VS Code & How Websites Work,357.5,358.5, You will select it here.
1,Installing VS Code & How Websites Work,358.5,360.5, Now what you will do here?
1,Installing VS Code & How Websites Work,360.5,361.5," You will say yes, I trust this file."
1,Installing VS Code & How Websites Work,361.5,364.5," Click on this file and say yes, I trust the authors."
1,Installing VS Code & How Websites Work,364.5,366.5, And this folder is now open.
1,Installing VS Code & How Websites Work,366.5,369.5," If I click on plus, there is a new file to be made."
1,Installing VS Code & How Websites Work,369.5,371.5, Suppose I wrote index.html here.
1,Installing VS Code & How Websites Work,371.5,372.5, Write it now.
1,Installing VS Code & How Websites Work,372.5,373.5, If you do not know what I am writing.
1,Installing VS Code & How Websites Work,373.5,374.5, Write it.
1,Installing VS Code & How Websites Work,374.5,375.5, Enter it.
1,Installing VS Code & How Websites Work,375.5,379.5, And after that what I will do is that I will write here.
1,Installing VS Code & How Websites Work,379.5,383.5," Hey, I am your first HTML file."
1,Installing VS Code & How Websites Work,383.5,384.5, Suppose I wrote this.
1,Installing VS Code & How Websites Work,384.5,386.5, Here you can see this ring.
1,Installing VS Code & How Websites Work,386.5,387.5, This is white color.
1,Installing VS Code & How Websites Work,387.5,390.5, This ring means that you have not saved this file.
1,Installing VS Code & How Websites Work,390.5,392.5," If you click on this, it will save."
1,Installing VS Code & How Websites Work,392.5,397.5, I will recommend you to go to the file and enable the auto save option.
1,Installing VS Code & How Websites Work,397.5,400.5," As you type, you will not see this ring."
1,Installing VS Code & How Websites Work,400.5,402.5, Your file will instantly be saved.
1,Installing VS Code & How Websites Work,402.5,403.5, As you type.
1,Installing VS Code & How Websites Work,403.5,404.5, And I recommend this too.
1,Installing VS Code & How Websites Work,404.5,406.5, We will not use control s.
1,Installing VS Code & How Websites Work,406.5,408.5," Otherwise, if you want to save from control s."
