number,title,start,end,text,chunk_id,embedding
1,Installing VS Code & How Websites Work,0.0,5.0, Today we will start the Sigma Web Development course with high energy.,0,"[-0.05856983 -0.00880215 -0.0109109  ...  0.00728161 -0.01057492
  0.02284219]"
1,Installing VS Code & How Websites Work,5.0,9.5, Because in this video I am going to make you a profitable web developer with zero.,1,"[-0.06708578 -0.01869168 -0.01255544 ...  0.01125612 -0.00087379
 -0.04165979]"
1,Installing VS Code & How Websites Work,9.5,12.700000000000001, This course will be modern because web development has changed over time.,2,"[-0.06727081 -0.00672085 -0.03188132 ...  0.00868597 -0.01733173
 -0.01333865]"
1,Installing VS Code & How Websites Work,12.700000000000001,14.0, Many new things have come.,3,"[ 0.01450042  0.01523568 -0.06850249 ...  0.01045164 -0.0205633
  0.004771  ]"
1,Installing VS Code & How Websites Work,14.0,18.0, Many things have come in JavaScript which makes the work very easy.,4,"[ 0.00105559  0.03027888 -0.08187607 ...  0.01586567 -0.01851832
 -0.02355539]"
1,Installing VS Code & How Websites Work,18.0,22.0, Many technologies have come which will make your work very easy.,5,"[-0.01974788  0.04989177 -0.06946476 ... -0.00466318 -0.05915683
 -0.02061947]"
1,Installing VS Code & How Websites Work,22.0,25.0, This course will be for those who don't know anything.,6,"[-0.03221458  0.03408803 -0.04276184 ... -0.00122632 -0.00893025
 -0.00844359]"
1,Installing VS Code & How Websites Work,25.0,29.0, You know that zero is for you if you know about web development.,7,"[-0.05523533 -0.00761534 -0.03896578 ... -0.00839796  0.00471688
  0.00591274]"
1,Installing VS Code & How Websites Work,29.0,32.0, We will start with zero but we will raise the bar like anything.,8,"[-0.0014911   0.02857571 -0.03332936 ... -0.03520943 -0.00650215
  0.01819527]"
1,Installing VS Code & How Websites Work,32.0,35.0, What we will learn in this course I will tell you in a while.,9,"[-0.02406434  0.04356396 -0.04416534 ...  0.00103105 -0.00826438
 -0.01627701]"
1,Installing VS Code & How Websites Work,35.0,37.5, Web development is a very profitable thing.,10,"[-0.05390306  0.00584408 -0.02789132 ...  0.02758202  0.02083748
  0.00865097]"
1,Installing VS Code & How Websites Work,37.5,40.5, I have personally earned a lot of money through web development.,11,"[-0.05140632  0.01113001 -0.03407397 ... -0.01004913 -0.01468721
 -0.02186968]"
1,Installing VS Code & How Websites Work,40.5,45.0, And I believe that you can also be successful by learning web development.,12,"[-0.0776829   0.02231218 -0.02635777 ... -0.00872256 -0.033009
  0.01167447]"
1,Installing VS Code & How Websites Work,45.0,49.0," You will get notes, cheats, references during the course.",13,"[-0.03017987 -0.00796638 -0.07808498 ...  0.00530421 -0.0481526
  0.00672588]"
1,Installing VS Code & How Websites Work,49.0,57.0, This course is going to be different because I will tell you the technologies according to your experience in this course.,14,"[-0.04353032 -0.01388555 -0.04326454 ... -0.0022761  -0.02283473
  0.01372564]"
1,Installing VS Code & How Websites Work,57.0,61.0, And I will make this course a complete course with all the web development technologies.,15,"[-0.04804383 -0.00422414 -0.02740368 ...  0.0127828  -0.01512606
  0.03992081]"
1,Installing VS Code & How Websites Work,61.0,65.0," There will be course content, complete web development, front end, back end, database.",16,"[-0.00512063 -0.02440254 -0.03982301 ...  0.0513027   0.0175278
  0.03606937]"
